	tname	tnumber
JPN	 Advanced Japanese II 	30200 
JPN	 Advanced Japanese Conversation 	35100 
JPN	 Independent Study in Japanese 	42101 
JPN	 Independent Study in Japanese 	42102 
JPN	 Independent Study in Japanese 	42103 
JS	 Independent Studies 	30000 
JS	 Jewish Studies Fieldwork 	31000 
JS	 Individual Honors Project 	40000 
JS	 Jewish Studies Seminar I 	41050 
JS	 Jewish Studies Seminar II 	41051 
LAT	 Beginning Latin 	10100 
LAT	 Beginning Latin 	10200 
LAT	 Beginning Latin  Intensive 	10700 
LAT	 Ovid's Metamorphoses 	20100 
LAT	 Roman Biography 	20200 
LAT	 Vergil's Aeneid 	20300 
LAT	 Cicero's De Senectute 	20400 
LAT	 Latin Reading: Prose 	21100 
LAT	 Latin Reading: Prose 	21100 
LAT	 Latin Reading: Poetry 	21200 
LAT	 Medieval Latin 	22000 
LAT	 Roman Letter 	30200 
LAT	 Roman Comedy 	30300 
LAT	 Roman Satire 	30400 
LAT	 Vergil's Eclogues and Georgics 	30500 
LAT	 Cicero 	30600 
LAT	 Lucretius'  De Rerum Natura 	30700 
LAT	 Roman Epic 	30800 
LAT	 Lyric Poetry of the Golden Age 	30900 
LAT	 The Roman Novel 	31000 
LAT	 Elegiac Poets 	31100 
LAT	 Livy 	31200 
LAT	 Caesar 	31300 
LAT	 Tacitus 	31400 
LAT	 Topics in Latin Literature 	32000 
LAT	 Independent Study in Latin Literature 	42100 
LACS	 Latin America and the Caribbean Field Course/Internship 	33000 
LACS	 Seminar in Latin American and Caribbean Studies 	43400 
MHC	 MHC Seminar 1  The Arts in New York City  	10000 
MHC	 MHC Seminar 2: Peopling of New York  	15000 
MHC	 MHC Seminar 3: Science and Technology  	20000 
MHC	 MHC Seminar 4: Shaping the Future of New York City  	25000 
MATH	 Basic Structures of Mathematics 	10000 
MATH	 Algebra for College Students 	10100 
MATH	 Mathematics and Everyday Life 	10200 
MATH	 Mathematics for Elementary Education I 	10400  
MATH	 Mathematics for Elementary Education II 	10500 
MATH	 Topics in the Mathematical Sciences 	11000 
MATH	 Matrices  Vectors and Linear Programming 	11100 
MATH	 Precalculus 	12500  
MATH	 Precalculus Technology Laboratory 	12600 
MATH	 Calculus with Analytic Geometry I 	15000  
MATH	 An Introduction to Symbolic Computation 	15400 
MATH	 Calculus with Analytic Geometry II 	15500  
MATH	 Introduction to Mathematical Proof Workshop 	15600 
MATH	 Matrix Algebra 	16000 
MATH	 Calculus with Analytic Geometry III 	25000 
MATH	 Ordinary Differential Equations 	25400 
MATH	 Vector Analysis 	25500 
MATH	 Linear Algebra 	26000 
MATH	 Symbolic Logic 	27500 
MATH	 Intermediate Topics in Mathematics 	29500 
MATH	 Mathematical Methods for the Physical Sciences 	30100 
MATH	 Abstract Algebra I 	31100 
MATH	 Abstract Algebra II 	31200 
MATH	 Theory of Numbers 	31300 
MATH	 Geometries 	33100 
MATH	 Topology 	34000 
MATH	 Mathematical Analysis I 	35100 
MATH	 Mathematical Analysis II 	35200 
MATH	 Introduction To Complex Variables 	35300 
MATH	 Dynamical Systems and Chaos 	35400 
MATH	 Mathematical Logic 	37000 
MATH	 Fundamental Concepts of Modern Mathematics 	37100 
MATH	 Logic and Computers 	37200 
MATH	 Philosophy of Mathematics  	37600 
MATH	 Non-classical Logic 	37700 
MATH	 Numerical Methods I 	38500 
MATH	 Independent Study in Mathematics 	39100 
MATH	 Independent Study in Mathematics 	39200 
MATH	 Independent Study in Mathematics 	39300 
MATH	 Advanced Topics in Mathematics 	39500 
MATH	 Calculus on Manifolds 	45400 
MATH	 Numerical Methods II 	48500 
MATH	 Honors Seminar 	49000 
STAT	 Selected Topics in Elementary Probability and Statistics as Applied to Popular Science and Current Events 	11000 
STAT	 Elementary Probability and Statistics 	11300 
STAT	 Discrete Probability 	21200 
STAT	 Introduction to Applied Statistics 	21300  
STAT	 Data Analysis Using Statistical Software 	21400 
STAT	 Statistical Analysis in Forensics 	22000 
STAT	 Intermediate Topics in Statistics 	29500 
STAT	 Probability Theory 	31100 
STAT	 Stochastic Processes 	31200 
STAT	 Introduction to Mathematical Statistics 	31300 
STAT	 Bayesian Statistical Inference in the Sciences 	31900 
STAT	 Advanced Biometrics 	35100 
STAT	 Independent Study 	39100 
STAT	 Independent Study 	39200 
STAT	 Independent Study 	39300 
STAT	 Advanced Topics in Statistics 	39500 
STAT	 Modeling and Visualization 	48600 
MLS	 Human Physiology: Integration and Control 	31200 
MLS	 Human Histology 	34700 
MLS	 Topics: Biohazards and Emergency Response 	40066 
MLS	 Topics: Medical Technology 	40067 
MLS	 Cell and Tissue Culture 	45000 
MLS	 Immunology 	46000 
MLS	48003 - Independent Study 	48001
MLS	 Honors 	49000 
MLSP	 Fundamental Concepts and Techniques in the Medical Laboratory 	30000 
MLSP	 Hematology 	34900 
MLSP	 Clinical Microbiology I 	35100 
MLSP	 Clinical Microbiology II 	35200 
MLSP	 Clinical Biochemistry I: Biomolecules & Metabolism 	35400 
MLSP	 Clinical Biochemistry II: Genes to Proteins 	35500 
MLSP	 Computers and Data Processing in the Medical Laboratory 	36100 
MLSP	 Topics in Biomedical Sciences 	40000 
MLSP	 Professional Practice 	41000 
MLSP	 Immunohematology 	43000 
MLSP	 Senior Seminar 	45700 
MUSHL	 A Thousand Years of Listening 	10100 
MUSHL	 The World of Music 	10700 
MUSTH	 Music Theory Fundamentals 	10100 
MUSHL	 Introduction to Music Research 	20100 
MUSHL	 Music History I 	20500 
MUSHL	 Music History II  	20600 
MUSHL	 Music for the Piano  	21000 
MUSHL	 Masterpieces of Opera  	21200 
MUSHL	 History of Jazz  	21700 
MUSHL	 History of Rock 	22000 
MUSHL	 Black Music in the Americas  	22100 
MUSHL	 Master Composers  	22700 
MUSHL	 Folk and Traditional Music  	23100 
MUSHL	 Music of the Caribbean and Latin America  	24000 
MUSHL	 Music of Asia  	24100 
MUSHL	 Music of the Middle East 	24300 
MUSHL	 Music of Africa  	24500 
MUSHL	 Women and Music  	25000 
MUSHL	 Film Music  	25200 
MUSHL	 Special Topics in History and Literature of Music  	26100 
MUSHL	 Special Topics in Music  	26200 
MUSHL	 Music History III  	30500 
MUSHL	 Music History IV  	30600 
MUSHL	 Introduction to Ethnomusicology I  	35200 
MUSHL	 Introduction to Ethnomusicology II  	35300 
MUSHL	 Special Topics in History and Literature of Music  	36100 
MUSHL	 Music Internship 	49800 
MUSPF	 Elementary Guitar I 	12100 
MUSPF	 Elementary Guitar II 	12200 
MUSPF	 Elementary Piano I 	13100 
MUSPF	 Voice I 	21100 
MUSPF	 Voice II 	21200 
MUSPF	 Piano I 	21300 
MUSPF	 Piano II 	21400 
MUSPF	 College Choir 	22100 
MUSPF	 Hunter Symphony 	23100 
MUSPF	 Jazz Ensemble 	24900 
MUSPF	 Jazz and Popular Music Combos 	25000 
MUSPF	 Jazz Vocal Workshop Ensemble 	25100 
MUSPF	 Conducting I 	34900 
MUSPF	 Conducting II 	35000 
MUSPF	 Chamber Singers 	35300 
MUSPF	 Chamber Music Workshop 	35500 
MUSPF	 Special Studies in Performance of Music 	36100 
MUSPF	 Special Studies in Performance of Music 	36200 
MUSPF	 Special Studies in Performance of Music 	36300 
MUSPF	 Topics in Piano Performance 	36500 
MUSPF	 Topics in Vocal Performance 	36900 
MUSPF	 Opera Performance 	37000 
MUSPF	 Individual Instruction in Instrument or Voice 	40100 
MUSPF	 Individual Instruction in Second Instrument or Voice 	40200 
MUSPF	 Individual Instruction in Instrument or Voice 	43100 
MUSTH	 Introduction to Music Technology 	20100 
MUSTH	 Music Theory I 	22000 
MUSTH	 Music Theory II 	22100 
MUSTH	 Musicianship I 	23000 
MUSTH	 Musicianship II 	23100 
MUSTH	 Music Theory III 	32000 
MUSTH	 Music Theory IV 	32100 
MUSTH	 Musicianship III 	33000 
MUSTH	 Musicianship IV 	33100 
MUSTH	 Composition I 	33300 
MUSTH	 Composition II 	33400 
MUSTH	 Orchestration 	33500 
MUSTH	 Computer Music 	35100 
MUSTH	 Special Topics in Music Theory 	36100 
MUSTH	 Jazz Harmony and Arranging 	37000 
MUSTH	 Jazz Improvisation 	37100 
MUSTH	 Private Lessons in Composition 	38500 
MUSTH	 Honors Project 	49100 
MUSTH	 Honors Project 	49200 
MUSIN	 Individual Study Project 	20101 
MUSIN	 Individual Study Project 	20102 
MUSIN	 Individual Study Project 	20103 
MUSIN	 Individual Study Project 	30101 
MUSIN	 Individual Study Project 	30102 
MUSIN	 Individual Study Project 	30103 
MUSIN	 Individual Study Project 	40101 
MUSIN	 Individual Study Project 	40102 
MUSIN	 Individual Study Project 	40103 
NURS	 Introduction to Nursing 	20000 
NURS	 Nursing Fundamentals and Health Assessment 	21000 
NURS	 Adult Health and Illness 	22000 
NURS	 Foundations of Genetics for Nurses 	24000 
NURS	 Pharmacology I 	33100 
NURS	 Normal and Therapeutic Nutrition in the Nursing Process 	33200 
NURS	 Pathopharmacology 	33400 
NURS	 Pharmacology II 	33900 
NURS	 Pathophysiology and Nursing Care 	34300 
NURS	 Foundations of Ethics and End-of-Life Care 	34900 
NURS	 Nursing Care of Women and Childbearing Families 	35200 
NURS	 Nursing Care of Infants  Children  and Adolescents 	36000 
NURS	 Nursing and Societal Forces in the Health Care Delivery System 	37900 
NURS	 Nursing Research and Theory 	38000 
NURS	 Health Assessment Throughout the Lifespan 	38100 
NURS	 Nursing Culturally Diverse Families 	38400 
NURS	 Nursing Leadership and Ethics 	42000 
NURS	 Health Policy and Leadership 	42200 
NURS	 Foundations of Ethics and Palliative Care 	42300 
NURS	 Public Health Nursing 	45500 
NURS	 Mental and Behavioral Health Nursing 	46000 
NURS	 Adult Acute Illness/ Immersion Clinical 	47000 
NURS	 Promotion of Wellness in the Community 	48000 
NURS	 Advancement of Roles and Relationships in Professional Nursing 	48200 
NURS	 Gerontological Nursing 	49000 
NURS	 Gerontology for Nurses 	49100 
NURS	 Advanced Synthesis of Nursing Knowledge 	49200 
NURS	 Women's Health 	34000 
NURS	 Ethical Issues in Nursing Practice 	34200 
NURS	 HIV/AIDS: An Interdisciplinary Perspective for Health Care Providers 	34500 
NURS	 Death and Dying 	34600 
NURS	 Independent Study in Nursing 	35000 
NURS	 Gender  Science and Technology 	35100 
NURS	 Urban Disaster Response and the Health Care Team 	39998 
NURS	 Stress Management for Nurses 	44000 
NURS	 Selected Studies in Nursing Research 	44100 
NURS	 Nursing Care of Acute and Critically Ill Clients 	44200 
NURS	 Teaching-Learning Across the Developmental and Health Continua 	44500 
NURS	 Computer Concepts and Application in Nursing 	45000 
NURS	 Politics of Health 	48300 
NURS	 Writing for Health Professionals: A Course for Undergraduates 	49500 
NFS	 Food Science I 	13100 
NFS	 Nutrition 	14100 
NFS	 Cultural Aspects of Food and Nutrition 	33200 
NFS	 Nutrition Education 	33300 
NFS	 Institutional Management 	33500 
NFS	 Nutrition and Human Development 	34200 
NFS	 Food and the Consumer 	36100 
NFS	 Techniques of Communication in Nutrition 	40100 
NFS	 Seminar in Nutrition and Food Science 	40200 
NFS	 Experimental Foods 	43100 
NFS	 Nutrition and the Elderly 	43400 
NFS	 Food Service Systems 	43500 
NFS	 Community Nutrition 	44100 
NFS	 Practicum in Nutrition and Food Science 	44351 
NFS	 Practicum in Nutrition and Food Science 	44352 
NFS	 Practicum in Nutrition and Food Science 	44354 
NFS	 Practicum in Nutrition and Food Science 	44355 
NFS	 Practicum in Nutrition and Food Science 	44356 
NFS	 Independent Study in Nutrition and Food Science 	48031 
NFS	 Independent Study in Nutrition and Food Science 	48032 
NFS	 Honors in Nutrition and Food Science 	49000 
PHILO	 Introduction to Philosophy 	10100 
PHILO	 Introduction to Ethics 	10400 
PHILO	 Philosophy  Politics and Society 	10600 
PHILO	 Introduction to Logic and Scientific Method 	17000 
PHILO	 Moral Philosophy  	24400 
PHILO	 Political Philosophy  	24600 
PHILO	 International Ethics  	24800 
PHILO	 Problems of Ethics and Society  	25000 
PHILO	 Problems of Law and Morality 	25200 
PHILO	 Ethical Issues in Biology and Medical Care  	25400 
PHILO	 Environmental Philosophy  	25500 
PHILO	 Philosophical Ideas in Literature  	25600 
PHILO	 Aesthetics  	25800 
PHILO	 Contemporary Theories in Ethics  	34400 
PHILO	 Contemporary Theories of Justice  	34600 
PHILO	 Critical Philosophy of Race  	34700 
PHILO	 Philosophy of Human Rights  	34800 
PHILO	 Classical Greek Philosophy: Plato and Aristotle  	21200 
PHILO	 Medieval Philosophy  	21400 
PHILO	 Foundations of Modern Philosophy  	21500 
PHILO	 Revolutions in Modern Philosophy  	21800 
PHILO	 Chinese Philosophy  	21900 
PHILO	 Indian Philosophy  	22100 
PHILO	 Neoplatonism  	22300 
PHILO	 American Philosophy  	22500 
PHILO	 African-American Philosophy  	22600 
PHILO	 Existentialism  	22800 
PHILO	 Marxist and Critical Theory  	31900 
PHILO	 Twentieth-Century Philosophy  	32000 
PHILO	 Symbolic Logic 	27500 
PHILO	 Logic and Computers 	37200 
PHILO	 Advanced Symbolic Logic 	37500 
PHILO	 Non-classical Logic 	37700 
PHILO	 Major Figures in Philosophy  	38000 
PHILO	 Plato  	38010 
PHILO	 Aristotle  	38011 
PHILO	 Plotinus  	38020 
PHILO	 Hume  	38063 
PHILO	 Kant  	38068 
PHILO	 Hegel  	38070 
PHILO	 Marx  	38076 
PHILO	 Nietzsche  	38078 
PHILO	 Wittgenstein  	38080 
PHILO	 Heidegger  	38083 
PHILO	 Foucault  	38086 
PHILO	 Knowledge and Reality  	20100 
PHILO	 Philosophy of Religion  	26200 
PHILO	 Philosophical Psychology  	26800 
PHILO	 Philosophy  Science and Culture  	27000 
PHILO	 Metaphysics  	36000 
PHILO	 Theory of Knowledge  	36200 
PHILO	 Feminist and Social Epistemologies  	36300 
PHILO	 Philosophy of Language  	36400 
PHILO	 Philosophy of Mind  	36600 
PHILO	 Philosophy of Mathematics  	37600 
PHILO	 Philosophy of Biology  	37800 
PHILO	 Philosophy of Science  	37900 
PHILO	 Topics in Philosophy 	20000 
PHILO	 Philosophical Systems 	39300 
PHILO	 Philosophical Problems 	39400 
PHILO	 Independent Study in Philosophy 	49200 
PHILO	 Honors Tutorial in Philosophy 	49400 
PHILO	 Internship 	49800 
PHYS	 Basic Concepts of Physics 	10000 
PHYS	 Basic Concepts of Physics with Laboratory Exercises 	10100 
PHYS	 General Physics: Introductory Course in Mechanics  Heat  and Sound 	11000  
PHYS	 General Physics: Introductory Course in Mechanics  Heat  and Sound 	11100  
PHYS	 General Physics: Introductory Course in Electricity and Magnetism  Light  and Atomic Physics 	12000  
PHYS	 General Physics: Introductory Course in Electricity and Magnetism  Light  and Atomic Physics 	12100  
PHYS	 Tutorial in Mathematical Physics 	19000 
PHYS	 Electrical Circuits and Laboratory 	20400 
PHYS	 Electronics 	22100 
PHYS	 Electronics Laboratory 	22200 
PHYS	 Analog and Digital Electronics and Laboratory 	22400 
PHYS	 Classical Physics Laboratory 	23000 
PHYS	 Fundamentals of Laser and Fiber Optics 	23100 
PHYS	 Laser and Electro-Optics Technology 	23200 
PHYS	 Laser Electro-Optics Devices  Measurements and Applications 	23300 
PHYS	 Fiber Optics Devices  Measurements  and Applications 	23400 
PHYS	 Modern Physics Laboratory 	23500 
PHYS	 Theoretical Physics 	30100 
PHYS	 Introduction to Fluid Mechanics 	31100 
PHYS	 Atomic and Nuclear Physics 	33000 
PHYS	 Intermediate Electricity and Magnetism 	33400 
PHYS	 Intermediate Mechanics 	33500 
PHYS	 Thermodynamics and Statistical Mechanics 	33600 
PHYS	 Optics 	34200 
PHYS	 Numerical Methods I 	38500 
PHYS	 Senior Thesis  	39900 
PHYS	 Theoretical Mechanics 	41100 
PHYS	 Electromagnetic Theory 	41500 
PHYS	 Electromagnetic Theory II 	41600 
PHYS	 Introduction to Biophysics 	42000 
PHYS	 Plasma Physics 	42400 
PHYS	 Quantum Theory 	42500 
PHYS	 Intermediate Physics Laboratory 	42700 
PHYS	 Photonics and Laboratory 	42800 
PHYS	 Solid State Physics 	44500 
PHYS	 Introduction to Research 	45300 
PHYS	 Introduction to Research 	45400 
PHYS	 Numerical Methods II 	48500 
PHYS	 Physics of Biological Systems 	24000 
PHYS	 Computer Applications in Physical Sciences 	24500 
PHYS	 Astrophysics 	28000 
PHYS	 Atomic and Nuclear Physics for Engineers 	36000 
PHYS	 Electricity and Magnetism for Engineers 	36400 
PHYS	 Analytical Mechanics 	36500 
PHYS	 Topics in Modern Physics 	40300 
POLSC	 Introduction to Politics: Democracy  Anarchy and the State  	10000 
POLSC	 American Government: A Historical Introduction  	11000 
POLSC	 Introduction to Political Theory  	11200 
POLSC	 Interpreting Politics: An Introduction to Political Ideas  	20000 
POLSC	 Comparing Countries  	25000 
POLSC	 International Relations: Conceptual Foundations and Current Issues  	27000 
POLSC	 American Government: A Historical Introduction  	11000 
POLSC	 State Government and Politics  	21100 
POLSC	 Urban Politics  	21200 
POLSC	 Political Parties and Elections  	21300 
POLSC	 Public Opinion and Political Participation  	21500 
POLSC	 Contemporary Issues in American Politics 	21700 
POLSC	 Women and Politics  	21800 
POLSC	 Women and the Law  	21900 
POLSC	 U.S. Immigration Policy  	22100 
POLSC	 Interest Group Politics  	22600 
POLSC	 Political Parties  	22700 
POLSC	 Protest Movements in American Politics  	22800 
POLSC	 The American Presidency  	23000 
POLSC	 The American Congress  	23500 
POLSC	 The American Legal System  	23800 
POLSC	 The American Judiciary  	24000 
POLSC	 Energy and Environmental Politics and Public Policy  	24400 
POLSC	 American Foreign Policy  	27400 
POLSC	 American Political Thought  	30100 
POLSC	 Contemporary Issues in American Politics 	31700 
POLSC	 Ethnic Politics  	32000 
POLSC	 American Political Economy  	32100 
POLSC	 Politics of Public Budgeting  	32300 
POLSC	 American Political Development  	33000 
POLSC	 Constitutional Law: Organizing the Government  	34000 
POLSC	 Constitutional Law: Civil Rights  	34100 
POLSC	 Constitutional Law: The First Amendment  	34200 
POLSC	 Criminal Law  	34300 
POLSC	 Public Administration and Public Policy  	34800 
POLSC	 Comparing Countries  	25000 
POLSC	 Politics of Africa  Asia and Latin America  	25100 
POLSC	 Government and Politics in Latin America  	25300 
POLSC	 Government and Politics in Western Europe  	25400 
POLSC	 Government and Politics of Japan and Korea  	25500 
POLSC	 Government and Politics of China  	25700 
POLSC	 African Politics through African Films  	26000 
POLSC	 Globalization and Opposition Movements  	26100 
POLSC	 Government and Politics in Central America  	26200 
POLSC	 Government and Politics in the Middle East  	26300 
POLSC	 Government and Politics of Israel  	26400 
POLSC	 Government and Politics in Eastern Europe  	26500 
POLSC	 The Politics of Southern Africa  	26700 
POLSC	 Contemporary Issues in Comparative Politics 	27200 
POLSC	 Comparative Legal Systems  	31000 
POLSC	 Social and Economic Policies in Western Europe and the United States  	32200 
POLSC	 Government and Politics of Russia and the Post-Soviet States  	35100 
POLSC	 State and Society in Africa  	35200 
POLSC	 Social Movements  Civil Society and the State in Latin America  	35300 
POLSC	 India's Democratic Experiment  	35600 
POLSC	 Democracy & Development in a Globalizing World  	36000 
POLSC	 Contemporary Issues in Comparative Politics 	37200 
POLSC	 Russian National Interest: Past and Present  	37800 
POLSC	 International Relations: Conceptual Foundations and Current Issues  	27000 
POLSC	 International Politics in the Americas  	27100 
POLSC	 Contemporary Issues in International Politics 	27300 
POLSC	 American Foreign Policy  	27400 
POLSC	 Politics of the Global Economy  	27500 
POLSC	 Global Issues  	27600 
POLSC	 International Organizations  	27800 
POLSC	 Women  War and Peace  	28000 
POLSC	 Drugs  Politics and Public Policy  	28100 
POLSC	 International Security  	28200 
POLSC	 Terrorism  	28300 
POLSC	 Contemporary Issues in International Politics 	37300 
POLSC	 International Human Rights  	37400 
POLSC	 International Law  	37500 
POLSC	 International Political Economy  	37600 
POLSC	 Theories of International Politics  	37700 
POLSC	 Russian National Interest: Past and Present  	37800 
POLSC	 War and Strategy  	37900 
POLSC	 European Security  	38000 
POLSC	 East Asia in World Politics  	38100 
POLSC	 Causes of War  	38200 
POLSC	 Power Transitions  the U.S. and World Order  	38300 
POLSC	 Comparative Foreign Policy  	38400 
POLSC	 Introduction to Political Theory  	11200 
POLSC	 Interpreting Politics: An Introduction to Political Ideas  	20000 
POLSC	 Ancient to Early Modern Political Thought  	20100 
POLSC	 Modern Political Thought (1600-1900)  	20200 
POLSC	 Political Thought Since 1900  	20300 
POLSC	 Contemporary Issues in Political Theory 	20400 
POLSC	 Research Design in Political Science  	20600 
POLSC	 Data Analysis in Political Science  	20700 
POLSC	 Women and Gender in Western Political Thought  	20900 
POLSC	 American Political Thought  	30100 
POLSC	 Critical Theory and Politics  	30200 
POLSC	 Democracy and Emergency  	30300 
POLSC	 Contemporary Issues in Political Theory 	30400 
POLSC	 Democratic Theory  	30500 
POLSC	 Theory of Revolution 	30700 
POLSC	 Feminist Political Theory  	30900 
POLSC	 Utopian Theory  	31100 
POLSC	 Political Theory of Human Rights  	31600 
POLSC	29003 - Independent Study in Political Science 	29001
POLSC	29103 - Directed Research  	29102
POLSC	 Seminar in Selected Problems of Political Science 	48000 
POLSC	 Senior Colloquium 	48600 
POLSC	 Independent Study - Honors Thesis Inception 	49100 
POLSC	 Independent Study Honors Thesis Completion 	49200 
POLSC	49203 - Honors Independent Study in Political Science 	49202
POLSC	 Conducting and Presenting Political Science Research 	49300 
POLSC	 Seminar/Internship in New York City Government 	22200/22300 
POLSC	 Topics in Political Science 	29200 
POLSC	 Topics in Political Science 	29400 
POLSC	29806 - Internship in Political Science 	29801
PSYCH	 Introduction to Psychology 	10000 
PSYCH	 Psychological Adjustment 	14000 
PSYCH	 Human Development 	15000 
PSYCH	 Evolution and Behavior 	16000 
PSYCH	 Psychology of Human Sexuality 	17000 
PSYCH	 Stress and Coping 	17100 
PSYCH	 Brain and Behavior 	18000 
PSYCH	 Development of Gender Roles 	19000 
PSYCH	 Special Topics in Psychology I 	19500 
PSYCH	 Independent Study in Psychology 	20100 
PSYCH	 The Profession of Psychology  	20500 
PSYCH	 Child Development 	21000 
PSYCH	 Exceptional Childhoods 	21200 
PSYCH	 Children & Adolescents with Autism 	21300 
PSYCH	 Adults with Developmental Disabilities 	21400 
PSYCH	 Introduction to Research Methods in Psychology  	21500 
PSYCH	 Personality 	22000 
PSYCH	 Psychoanalytic Theories 	22100 
PSYCH	 Abnormal Psychology 	22300 
PSYCH	 Neuroscience 	22400 
PSYCH	 Ethology: Animal Behavior 	22500 
PSYCH	 Social Psychology 	23000 
PSYCH	 The Psychology of Women 	23500 
PSYCH	 Applications of Psychology 	24000 
PSYCH	 Health Psychology 	24200 
PSYCH	 Cognitive Processes 	24300 
PSYCH	 History of Psychology  	24500 
PSYCH	 Statistical Methods in Psychological Research 	24800 
PSYCH	 Experimental Psychology: Social 	24900 
PSYCH	 Experimental Psychology: General 	25000 
PSYCH	 Special Topics in Psychology II 	29500 
PSYCH	 Physiological Psychology 	30000 
PSYCH	 Sensation and Perception 	30100 
PSYCH	 Seminar in Psychological Services I 	30600 
PSYCH	 Seminar in Psychological Services II 	30700 
PSYCH	 Behavioral Neuroendocrinology 	30900 
PSYCH	 Research Methods in Developmental Psychology 	31000 
PSYCH	 Adolescence 	31300 
PSYCH	 Adult Development 	31500 
PSYCH	 Cognitive Neuroscience 	31600 
PSYCH	 Neuronal Basis of Behavior  (Neuroethology) 	32000 
PSYCH	 Animal Orientation: Function and Mechanisms 	32100 
PSYCH	 Psychology of Language 	32200 
PSYCH	 Developmental Psychopathology 	32300 
PSYCH	 Communication Behavior 	32400 
PSYCH	 Animal Cognition 	32500 
PSYCH	 Motivation and Emotion 	32700 
PSYCH	 States of Consciousness 	32800 
PSYCH	 Cognitive Science 	32900 
PSYCH	 Memory and Attention 	33000 
PSYCH	 Social Cognition of Gender 	33100 
PSYCH	 Attitudes and Persuasion 	33200 
PSYCH	 Advanced Social Psychology Theory and Methods 	33300 
PSYCH	 Cultural Psychology 	33400 
PSYCH	 Industrial and Organizational Psychology 	34000 
PSYCH	 Stress  Trauma  and Resilience 	34100 
PSYCH	 Emotion: Function and Dysfunction 	34200 
PSYCH	 Clinical Psychology 	34400 
PSYCH	 Statistics Practicum in Psychology 	34800 
PSYCH	 Learning 	35000 
PSYCH	 Ethnic and Cultural Identity Theories 	35500 
PSYCH	 Psychological Tests 	36100 
PSYCH	 Psychological Determinants of Health Disparities 	36200 
PSYCH	 Health Behavior Change 	36300 
PSYCH	 Sexuality and Health 	36400 
PSYCH	 Coping with Chronic Disease 	36500 
PSYCH	 Interpersonal Relationships and Health 	36600 
PSYCH	 Biological and Social Bases of Addictive Behavior 	36700 
PSYCH	 Behavioral Pharmacology 	36900 
PSYCH	 Cognitive Development 	37000 
PSYCH	 Microcomputers in Psychological Research 	38000 
PSYCH	 Current Topics in Animal Behavior 	38100 
PSYCH	 Current Topics in Biopsychology 	38200 
PSYCH	 Current Topics in Cognitive Psychology 	38300 
PSYCH	 Current Topics in Developmental Psychology 	38400 
PSYCH	 Current Topics in Social Psychology 	38500 
PSYCH	 Current Topics in Clinical Psychology 	38600 
PSYCH	 Current Topics in Health Psychology 	38700 
PSYCH	 Special Topics in Psychology III 	39000 
PSYCH	 Independent Research in Psychology 	39500 
PSYCH	 Honors in Psychology 	39600 
PSYCH	 Honors in Psychology 	39800 
PSYCH	 Special Topics in Psychology IV 	40000 
PUPOL	 Introduction to Public Policy 	10000 
PUPOL	 Capstone Seminar 	40000 
REL	 Nature of Religion  	11000 
REL	 Approaches to Religion  	11100 
ANTHC	 Anthropology of Religion 	30700 
REL	 Special Topics: Theoretical Studies in Religion 	26000 
REL	 Religion and Psychology  	27000 
REL	 Religion and Film  	31700 
REL	 Special Topics: Theoretical Studies in Religion 	36000 
REL	 Modern Theories of Religion  	39000 
REL	 Religious Experience  	20400 
REL	 Faith and Disbelief  	20500 
REL	 Ideas of God in Contemporary Western Thought  	20600 
REL	 Religious Sources for Morality  	20700 
REL	 Religion and Social Justice  	20800 
REL	 Religion and Human Rights  	20900 
REL	 Atheism  	21000 
REL	 Special Topics: Issues in Religion 	26100 
REL	 Religious Ideas in Modern Literature  	30700 
REL	 Religion and the Arts  	30800 
REL	 The Religious Meanings of Love and Sex  	30900 
REL	 The Religious Meanings of Death  	31000 
REL	 Women and Religion  	31100 
REL	 Religion and Politics  	31200 
REL	 Spirit and Nature  	31300 
REL	 The Problem of Evil  	31500 
REL	 Men and Religion  	31600 
REL	 Religion and Science  	31800 
REL	 Religion and the Body  	31900 
REL	 Mysticism  	33400 
REL	 Myth and Ritual  	33500 
REL	 Homosexuality in World Religions  	34000 
REL	 Special Topics: Issues in Religion 	36100 
HIST	 Christianity in Modern Times 	31500 
REL	 The Sacred Sky:  Astrology in World Religions  	21100 
REL	 Asian Religions  	25100 
REL	 Ancient Near Eastern Religions  	25200 
REL	 Abrahamic Religions  	25300 
REL	 Tribal Religions: From Australia to the Americas  	25400 
REL	 Religions of Two Gods  	25500 
REL	 Afro-Caribbean Religions  	25600 
REL	 Religions of Ancient Central and South America  	25700 
REL	 Religions of Ancient Europe  	25800 
REL	 Religions of Ancient Europe  	25800 
REL	 Special Topics: Religious Traditions 	26200 
REL	 Religion and Sports  	31400 
REL	 Hinduism  	32000 
REL	 Buddhism  	32100 
REL	 Islam  	32200 
REL	 Christianity  	32300 
REL	 Islam and Buddhism  	32400 
REL	 Religious Meanings of the Qur’?n  	32600 
REL	 New Testament Religion  	33000 
REL	 Christian Theology  	33300 
REL	 Zen  	33600 
REL	 Sufism  	33700 
REL	 Special Topics: Religious Traditions 	36200 
REL	 Independent Study in Religion 	41000 
REL	 Honors Seminar in Religion 	45000 
REL	 Honors Tutorial in Religion 	49000 
FREN	 Elementary French I 	10100 
FREN	 Elementary French II 	10200 
FREN	 Beginning French Conversation and Cultural Enrichment 	10250 
FREN	 Intensive Elementary French 	10300 
